objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,constituentID,role,name,constituentULAN_URL,constituentWikidata_URL,gender
22,FALSE,16.74.43,1916,FALSE,,,[],The American Wing,Coin,"Coin, 1/4 Real",Guatemalan,,,,,,,,,,,,,,,,,1881,1881,1881,Silver,Diam. 1/2 in. (1.3 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/22,,,FALSE,,,,,,,
23,FALSE,16.74.44,1916,FALSE,,,[],The American Wing,Coin,"Coin, 1/4 Real",Guatemalan,,,,,,,,,,,,,,,,,1878,1878,1878,Silver,Diam. 1/2 in. (1.3 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Guatemala,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/23,,,FALSE,,,,,,,
24,FALSE,16.74.33,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/24,,,FALSE,,,,,,,
25,FALSE,16.74.34,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/25,,,FALSE,,,,,,,
26,FALSE,16.74.35,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/26,,,FALSE,,,,,,,
27,FALSE,16.74.36,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/27,,,FALSE,,,,,,,
28,FALSE,16.74.38,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/28,,,FALSE,,,,,,,
29,FALSE,16.74.39,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1860–70,1860,1870,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/29,,,FALSE,,,,,,,
30,FALSE,16.74.37,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1885,1885,1885,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/30,,,FALSE,,,,,,,
31,FALSE,16.74.40,1916,FALSE,,,[],The American Wing,Centavos,"Coin, 10 Centavos",Mexican,,,,,,,,,,,,,,,,,1885,1885,1885,Nickel,Diam. 3/4 in. (1.9 cm),,"Gift of Mrs. Russell Sage, 1916",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/31,,,FALSE,,,,,,,
32,FALSE,09.9.15,1909,FALSE,,,[],The American Wing,Pesos,"Coin, 20 Pesos",Mexican,,,,,,,,,,,,,,,,,1866,1866,1866,Gold,Diam. 2 1/8 in. (5.4 cm),,"Gift of H. R. Ickelheimer, 1909",Made in,,,,Mexico,,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/32,,,FALSE,,,,,,,
33,FALSE,64.62,1964,FALSE,,,[],The American Wing,Bust,Bust of Abraham Lincoln,American,,,,,Maker,,James Gillinder and Sons,"American, 1861–ca. 1930",,"Gillinder and Sons, James",American,1861,1930,,,,1876,1876,1876,Pressed glass,2 3/4 x 3 1/2 x 2 3/4 in. (7 x 8.9 x 7 cm),,"Gift of Teunis G. B. Cortelyou, 1964",Made in,Philadelphia,Pennsylvania,,United States,Mid-Atlantic,,,,,,,,,2021-04-06T04:41:04.967Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/33,,,FALSE,774,164590,Maker,James Gillinder and Sons,,,
